onet_soc_code,title,element_id,element_name,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
35-2011.00,"Cooks, Fast Food",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,58.76,08/2026,Incumbent,O*NET
35-2011.00,"Cooks, Fast Food",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",60.85,08/2026,Incumbent,O*NET
35-2012.00,"Cooks, Institution and Cafeteria",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",25.91,08/2019,Incumbent,O*NET
35-2012.00,"Cooks, Institution and Cafeteria",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,69.33,08/2019,Incumbent,O*NET
35-2012.00,"Cooks, Institution and Cafeteria",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",50.39,08/2019,Incumbent,O*NET
35-2013.00,"Cooks, Private Household",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",30.77,08/2023,Occupational Expert,O*NET
35-2013.00,"Cooks, Private Household",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,34.62,08/2023,Occupational Expert,O*NET
35-2013.00,"Cooks, Private Household",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",42.31,08/2023,Occupational Expert,O*NET
35-2014.00,"Cooks, Restaurant",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,37.09,08/2025,Incumbent,O*NET
35-2014.00,"Cooks, Restaurant",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),1,,46.35,08/2025,Incumbent,O*NET
35-2014.00,"Cooks, Restaurant",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",60.98,08/2025,Incumbent,O*NET
35-2015.00,"Cooks, Short Order",3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),4,"Over 3 months, up to and including 6 months",16.99,08/2025,Incumbent,O*NET
35-2015.00,"Cooks, Short Order",3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,29.29,08/2025,Incumbent,O*NET
35-2015.00,"Cooks, Short Order",3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",15.89,08/2025,Incumbent,O*NET
35-2021.00,Food Preparation Workers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,34.44,08/2024,Incumbent,O*NET
35-2021.00,Food Preparation Workers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,35.19,08/2024,Incumbent,O*NET
35-2021.00,Food Preparation Workers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",37.04,08/2024,Incumbent,O*NET
35-3011.00,Bartenders,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",26.18,07/2017,Incumbent,O*NET
35-3011.00,Bartenders,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",36.33,07/2017,Incumbent,O*NET
35-3011.00,Bartenders,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",38.19,07/2017,Incumbent,O*NET
35-3023.00,Fast Food and Counter Workers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,74.25,08/2025,Incumbent,O*NET
