level,anzsco_code,anzsco_title,northern_australia,date,vacancies
4,8413,Forestry and Logging Workers,Northern Australia,2026-07-01,1
4,8414,Garden and Nursery Labourers,Northern Australia,2026-07-01,20
4,8415,Livestock Farm Workers,Northern Australia,2026-07-01,6
4,8416,Mixed Crop and Livestock Farm Workers,Northern Australia,2026-07-01,26
4,8419,"Other Farm, Forestry and Garden Workers",Northern Australia,2026-07-01,11
4,8511,Fast Food Cooks,Northern Australia,2026-07-01,1
4,8512,Food Trades Assistants,Northern Australia,2026-07-01,1
4,8513,Kitchenhands,Northern Australia,2026-07-01,50
4,8911,Freight and Furniture Handlers,Northern Australia,2026-07-01,29
4,8912,Shelf Fillers,Northern Australia,2026-07-01,8
4,8991,Caretakers,Northern Australia,2026-07-01,14
4,8992,Deck and Fishing Hands,Northern Australia,2026-07-01,8
4,8993,Handypersons,Northern Australia,2026-07-01,71
4,8994,Motor Vehicle Parts and Accessories Fitters,Northern Australia,2026-07-01,28
4,8995,Printing Assistants and Table Workers,Northern Australia,2026-07-01,1
4,8996,Recycling and Rubbish Collectors,Northern Australia,2026-07-01,1
4,8997,Vending Machine Attendants,Northern Australia,2026-07-01,1
4,8999,Other Miscellaneous Labourers,Northern Australia,2026-07-01,321
