anzsco_code,occupation,state,share_pct
139913,Laboratory Managers,TAS,2.2
139913,Laboratory Managers,NT,0.8
139913,Laboratory Managers,ACT,2.3
139914,Quality Assurance Managers,NSW,33.5
139914,Quality Assurance Managers,VIC,31.5
139914,Quality Assurance Managers,QLD,16.4
139914,Quality Assurance Managers,SA,6.3
139914,Quality Assurance Managers,WA,8.9
139914,Quality Assurance Managers,TAS,1.4
139914,Quality Assurance Managers,NT,0.6
139914,Quality Assurance Managers,ACT,1.3
139915,Sports Administrators,NSW,28.5
139915,Sports Administrators,VIC,29.3
139915,Sports Administrators,QLD,17.5
139915,Sports Administrators,SA,6.9
139915,Sports Administrators,WA,10.1
139915,Sports Administrators,TAS,2.4
139915,Sports Administrators,NT,1.9
139915,Sports Administrators,ACT,3.6
139999,Specialist Managers (not covered elsewhere),NSW,33.9
139999,Specialist Managers (not covered elsewhere),VIC,26.3
139999,Specialist Managers (not covered elsewhere),QLD,16.9
139999,Specialist Managers (not covered elsewhere),SA,6
139999,Specialist Managers (not covered elsewhere),WA,10.5
139999,Specialist Managers (not covered elsewhere),TAS,1.9
139999,Specialist Managers (not covered elsewhere),NT,1
139999,Specialist Managers (not covered elsewhere),ACT,3.4
141911,Bed and Breakfast Operators,NSW,24.4
141911,Bed and Breakfast Operators,VIC,21.8
141911,Bed and Breakfast Operators,QLD,19.2
141911,Bed and Breakfast Operators,SA,10.3
141911,Bed and Breakfast Operators,WA,12.7
141911,Bed and Breakfast Operators,TAS,9.5
141911,Bed and Breakfast Operators,NT,0.9
141911,Bed and Breakfast Operators,ACT,0.2
141912,Retirement Village Managers,NSW,32.2
141912,Retirement Village Managers,VIC,23.4
141912,Retirement Village Managers,QLD,23.1
141912,Retirement Village Managers,SA,8.9
141912,Retirement Village Managers,WA,9.7
141912,Retirement Village Managers,TAS,1.8
141912,Retirement Village Managers,NT,0
141912,Retirement Village Managers,ACT,1.6
141999,Accommodation and Hospitality Managers (not covered elsewhere),NSW,25.1
141999,Accommodation and Hospitality Managers (not covered elsewhere),VIC,21.7
141999,Accommodation and Hospitality Managers (not covered elsewhere),QLD,20.5
141999,Accommodation and Hospitality Managers (not covered elsewhere),SA,6.6
141999,Accommodation and Hospitality Managers (not covered elsewhere),WA,17.1
141999,Accommodation and Hospitality Managers (not covered elsewhere),TAS,5.7
141999,Accommodation and Hospitality Managers (not covered elsewhere),NT,2
141999,Accommodation and Hospitality Managers (not covered elsewhere),ACT,1.1
142111,Retail Managers (General),NSW,29.6
142111,Retail Managers (General),VIC,26.7
142111,Retail Managers (General),QLD,21.2
142111,Retail Managers (General),SA,7.3
142111,Retail Managers (General),WA,10.4
142111,Retail Managers (General),TAS,2.3
142111,Retail Managers (General),NT,0.8
142111,Retail Managers (General),ACT,1.6
142112,Antique Dealers,NSW,30
142112,Antique Dealers,VIC,29
142112,Antique Dealers,QLD,13.3
142112,Antique Dealers,SA,10.4
142112,Antique Dealers,WA,7.2
142112,Antique Dealers,TAS,7.1
142112,Antique Dealers,NT,0
142112,Antique Dealers,ACT,2
142113,Betting Agency Managers,NSW,28.5
142113,Betting Agency Managers,VIC,29.6
142113,Betting Agency Managers,QLD,10.5
142113,Betting Agency Managers,SA,2.6
142113,Betting Agency Managers,WA,25.7
142113,Betting Agency Managers,TAS,3.1
142113,Betting Agency Managers,NT,1
142113,Betting Agency Managers,ACT,0
142114,Hair and Beauty Salon Managers,NSW,26.4
142114,Hair and Beauty Salon Managers,VIC,25.6
142114,Hair and Beauty Salon Managers,QLD,24.9
142114,Hair and Beauty Salon Managers,SA,6.6
142114,Hair and Beauty Salon Managers,WA,11.3
142114,Hair and Beauty Salon Managers,TAS,2.4
142114,Hair and Beauty Salon Managers,NT,0.6
142114,Hair and Beauty Salon Managers,ACT,2
142115,Post Office Managers,NSW,29.7
142115,Post Office Managers,VIC,26.7
142115,Post Office Managers,QLD,18
142115,Post Office Managers,SA,9.8
142115,Post Office Managers,WA,10.9
142115,Post Office Managers,TAS,3.1
142115,Post Office Managers,NT,0.6
142115,Post Office Managers,ACT,1.3
142116,Travel Agency Managers,NSW,39.1
142116,Travel Agency Managers,VIC,22.3
142116,Travel Agency Managers,QLD,22.7
142116,Travel Agency Managers,SA,5.2
142116,Travel Agency Managers,WA,7.1
142116,Travel Agency Managers,TAS,1.1
142116,Travel Agency Managers,NT,0.4
142116,Travel Agency Managers,ACT,1
149111,Amusement Centre Managers,NSW,22.5
149111,Amusement Centre Managers,VIC,31.5
149111,Amusement Centre Managers,QLD,22.4
149111,Amusement Centre Managers,SA,6.5
149111,Amusement Centre Managers,WA,12.2
