level,state,region,anzsco_code,anzsco_title,date,vacancies
3,WA,Goldfields & Southern WA,36,Skilled Animal and Horticultural Workers,2026-07-01,11
3,WA,Goldfields & Southern WA,3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",2026-07-01,5.333
3,WA,Goldfields & Southern WA,3B,"Jewellers, Arts and Other Trades Workers",2026-07-01,16.667
2,WA,Goldfields & Southern WA,4,COMMUNITY AND PERSONAL SERVICE WORKERS,2026-07-01,117.667
3,WA,Goldfields & Southern WA,41,Health and Welfare Support Workers,2026-07-01,31.333
3,WA,Goldfields & Southern WA,42,Carers and Aides,2026-07-01,49.333
3,WA,Goldfields & Southern WA,43,Hospitality Workers,2026-07-01,13.333
3,WA,Goldfields & Southern WA,44,Protective Service Workers,2026-07-01,12.667
3,WA,Goldfields & Southern WA,45,"Sports, Travel and Personal Service Workers",2026-07-01,11
2,WA,Goldfields & Southern WA,5,CLERICAL AND ADMINISTRATIVE WORKERS,2026-07-01,207.667
3,WA,Goldfields & Southern WA,55,Numerical Clerks,2026-07-01,24
3,WA,Goldfields & Southern WA,56,Clerical and Office Support Workers,2026-07-01,6.333
3,WA,Goldfields & Southern WA,59,Other Clerical and Administrative Workers,2026-07-01,37
3,WA,Goldfields & Southern WA,5A,"Office Managers, Administrators and Secretaries",2026-07-01,19.667
3,WA,Goldfields & Southern WA,5B,"General-Inquiry Clerks, Call Centre Workers, and Receptionists",2026-07-01,120.667
2,WA,Goldfields & Southern WA,6,SALES WORKERS,2026-07-01,109.333
3,WA,Goldfields & Southern WA,61,Sales Representatives and Agents,2026-07-01,18.667
3,WA,Goldfields & Southern WA,62,Sales Assistants and Salespersons,2026-07-01,79
3,WA,Goldfields & Southern WA,63,Sales Support Workers,2026-07-01,11.667
2,WA,Goldfields & Southern WA,7,MACHINERY OPERATORS AND DRIVERS,2026-07-01,287
3,WA,Goldfields & Southern WA,71,Machine and Stationary Plant Operators,2026-07-01,101.667
3,WA,Goldfields & Southern WA,72,Mobile Plant Operators,2026-07-01,70
3,WA,Goldfields & Southern WA,7A,Drivers and Storepersons,2026-07-01,115.333
2,WA,Goldfields & Southern WA,8,LABOURERS,2026-07-01,146
3,WA,Goldfields & Southern WA,81,Cleaners and Laundry Workers,2026-07-01,24.333
3,WA,Goldfields & Southern WA,82,Construction and Mining Labourers,2026-07-01,26
3,WA,Goldfields & Southern WA,83,Factory Process Workers,2026-07-01,4
3,WA,Goldfields & Southern WA,84,"Farm, Forestry and Garden Workers",2026-07-01,17.333
3,WA,Goldfields & Southern WA,85,Food Preparation Assistants,2026-07-01,5.333
3,WA,Goldfields & Southern WA,89,Other Labourers,2026-07-01,69
1,WA,Perth,0,Perth TOTAL,2026-07-01,21834.333
2,WA,Perth,1,MANAGERS,2026-07-01,2444.667
3,WA,Perth,11,"Chief Executives, Managing Directors & Legislators",2026-07-01,94.667
3,WA,Perth,12,Farmers and Farm Managers,2026-07-01,10.333
3,WA,Perth,14,"Hospitality, Retail and Service Managers",2026-07-01,702.667
3,WA,Perth,1A,Corporate Managers,2026-07-01,763
3,WA,Perth,1B,"Construction, Production and Distribution Managers",2026-07-01,692.333
3,WA,Perth,1C,"Health, Education, ICT and Other Managers",2026-07-01,181.667
2,WA,Perth,2,PROFESSIONALS,2026-07-01,5519.333
3,WA,Perth,21,Arts and Media Professionals,2026-07-01,129.667
3,WA,Perth,24,Education Professionals,2026-07-01,184.333
3,WA,Perth,26,ICT Professionals,2026-07-01,441
3,WA,Perth,27,"Legal, Social and Welfare Professionals",2026-07-01,554.333
3,WA,Perth,2A,"Business, Finance and Human Resource Professionals",2026-07-01,958
3,WA,Perth,2B,Information Professionals,2026-07-01,201
3,WA,Perth,2C,"Sales, Marketing & Public Relations Professionals",2026-07-01,232.667
3,WA,Perth,2D,"Transport and Design Professionals, and Architects",2026-07-01,189.333
3,WA,Perth,2E,Engineers,2026-07-01,1003.667
3,WA,Perth,2F,Science Professionals and Veterinarians,2026-07-01,249.333
3,WA,Perth,2G,Health Diagnostic and Therapy Professionals,2026-07-01,699.667
3,WA,Perth,2H,Medical Practitioners and Nurses,2026-07-01,676.333
2,WA,Perth,3,TECHNICIANS AND TRADES WORKERS,2026-07-01,4477.333
3,WA,Perth,31,"Engineering, ICT and Science Technicians",2026-07-01,771.333
3,WA,Perth,32,Automotive and Engineering Trades Workers,2026-07-01,1648.667
3,WA,Perth,33,Construction Trades Workers,2026-07-01,506.333
3,WA,Perth,34,Electrotechnology and Telecommunications Trades Workers,2026-07-01,719.333
3,WA,Perth,35,Food Trades Workers,2026-07-01,384
3,WA,Perth,36,Skilled Animal and Horticultural Workers,2026-07-01,165.667
3,WA,Perth,3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",2026-07-01,130.333
3,WA,Perth,3B,"Jewellers, Arts and Other Trades Workers",2026-07-01,151.667
