level,anzsco_code,anzsco_title,jsa_remoteness,date,vacancies
4,8912,Shelf Fillers,Regional,2026-07-01,25
4,8991,Caretakers,Regional,2026-07-01,51
4,8992,Deck and Fishing Hands,Regional,2026-07-01,14
4,8993,Handypersons,Regional,2026-07-01,261
4,8994,Motor Vehicle Parts and Accessories Fitters,Regional,2026-07-01,79
4,8995,Printing Assistants and Table Workers,Regional,2026-07-01,7
4,8996,Recycling and Rubbish Collectors,Regional,2026-07-01,6
4,8997,Vending Machine Attendants,Regional,2026-07-01,3
4,8999,Other Miscellaneous Labourers,Regional,2026-07-01,1377
0,0,Total,Major City,2026-07-01,145912
1,1,MANAGERS,Major City,2026-07-01,19903
2,11,"Chief Executives, Managing Directors & Legislators",Major City,2026-07-01,857
2,12,Farmers and Farm Managers,Major City,2026-07-01,59
2,14,"Hospitality, Retail and Service Managers",Major City,2026-07-01,5324
2,1A,Corporate Managers,Major City,2026-07-01,7188
2,1B,"Construction, Production and Distribution Managers",Major City,2026-07-01,4785
2,1C,"Health, Education, ICT and Other Managers",Major City,2026-07-01,1691
4,1111,Chief Executives and Managing Directors,Major City,2026-07-01,294
4,1112,General Managers,Major City,2026-07-01,563
4,1211,Aquaculture Farmers,Major City,2026-07-01,0
4,1212,Crop Farmers,Major City,2026-07-01,8
4,1213,Livestock Farmers,Major City,2026-07-01,12
4,1214,Mixed Crop and Livestock Farmers,Major City,2026-07-01,39
4,1311,Advertising and Sales Managers,Major City,2026-07-01,3992
4,1321,Corporate Services Managers,Major City,2026-07-01,537
4,1322,Finance Managers,Major City,2026-07-01,791
4,1323,Human Resource Managers,Major City,2026-07-01,479
4,1324,Policy and Planning Managers,Major City,2026-07-01,1284
4,1325,Research and Development Managers,Major City,2026-07-01,105
4,1331,Construction Managers,Major City,2026-07-01,3166
4,1332,Engineering Managers,Major City,2026-07-01,287
4,1333,"Importers, Exporters and Wholesalers",Major City,2026-07-01,20
4,1334,Manufacturers,Major City,2026-07-01,27
4,1335,Production Managers,Major City,2026-07-01,869
4,1336,"Supply, Distribution and Procurement Managers",Major City,2026-07-01,415
4,1341,Child Care Centre Managers,Major City,2026-07-01,192
4,1342,Health and Welfare Services Managers,Major City,2026-07-01,267
4,1343,School Principals,Major City,2026-07-01,98
4,1344,Other Education Managers,Major City,2026-07-01,90
4,1351,ICT Managers,Major City,2026-07-01,441
4,1399,Other Specialist Managers,Major City,2026-07-01,601
4,1411,Cafe and Restaurant Managers,Major City,2026-07-01,442
