anzsco4_code,occupation,description,employed,median_weekly_earnings_aud,median_age,annual_employment_growth,average_full_time_hours_worked_per_week,vacancies_aust_jul_2026,vacancies_nsw_jul_2026,vacancies_vic_jul_2026,vacancies_qld_jul_2026,vacancies_sa_jul_2026,vacancies_wa_jul_2026,vacancies_tas_jul_2026,vacancies_nt_jul_2026,vacancies_act_jul_2026,employment_may_2025_thousands,employment_may_2030_thousands,employment_may_2035_thousands,change_5y_thousands,change_5y_pct,change_10y_thousands,change_10y_pct
2244,Intelligence and Policy Analysts,"Intelligence and Policy Analysts collect and analyse information and data to produce intelligence and to develop and analyse policies guiding the design, implementation and modification of government and commercial operations and programs.",44500,2173,39,2700,41,554.66667,159.66667,145.66667,88.66667,31.33333,67.66667,13.0,5.33333,43.33333,45.427762016107,52.68848383399,56.8605449347131,7.260721817882995,15.983005756058624,11.432782918606094,25.16695168595902
2245,Land Economists and Valuers,"Land Economists and Valuers provide advice on the administration and use of land and property, and assess the value of land, property and other items such as commercial equipment and objects of art.",13800,2744,40,100,45,82.33333,28.33333,18.33333,19.33333,4.33333,7.0,2.0,0.66667,2.33333,14.686950376016402,17.3673094386839,18.994158473780402,2.680359062667499,18.249936127274523,4.307208097764001,29.326769598116265
2246,Librarians,"Librarians develop, organise and manage library services such as collections of information, recreational resources and reader information services.",11900,1841,50,0,39,80.0,35.33333,16.33333,14.33333,3.0,5.66667,0.66667,2.0,2.66667,11.2586396681561,13.022237842724701,14.1744841398907,1.7635981745686014,15.664398422455573,2.9158444717345997,25.89872806731496
2247,Management and Organisation Analysts,"Management and Organisation Analysts assist organisations to achieve greater efficiency and solve organisational problems, and study organisational structures, methods, systems and procedures.",105800,2444,43,200,43,751.66667,260.66667,195.0,151.66667,38.0,68.66667,5.0,6.66667,26.0,107.697120699298,125.090702983852,137.110381230754,17.393582284554,16.150461750150928,29.413260531456004,27.31109275760585
2249,Other Information and Organisation Professionals,"Other Information and Organisation Professionals includes occupations such as Electorate Officers, Liaison Officers, Migration Agents and Patents Examiners.",55000,2189,39,1300,41,277.33333,60.66667,53.0,64.66667,24.0,56.33333,4.66667,5.33333,8.66667,57.123887243131,66.26102702769779,72.3268269168226,9.137139784566791,15.995304636180041,15.202939673691596,26.613979558122086
2251,Advertising and Marketing Professionals,"Advertising and Marketing Professionals develop and coordinate advertising strategies and campaigns, determine the market for new goods and services, and identify and develop market opportunities for new and existing goods and services.",103100,1957,36,3000,42,1781.66667,664.66667,546.33333,321.33333,69.0,138.66667,9.66667,7.0,25.0,102.987290484735,115.922436324058,125.727813501952,12.935145839322999,12.559943832331694,22.740523017217,22.08090232317322
2252,ICT Sales Professionals,"ICT Sales Professionals manage client accounts and represent companies in selling a range of computer hardware, software and other ICT goods and services to industrial, business, professional and other organisations.",16200,2003,40,-1300,43,26.66667,12.33333,4.66667,6.33333,1.0,1.66667,0.0,0.0,0.66667,17.2043993856141,19.549308865463498,21.178385342561302,2.344909479849399,13.629708467533922,3.973985956947203,23.098661382333134
2253,Public Relations Professionals,"Public Relations Professionals plan, develop, implement and evaluate information and communication strategies that create an understanding and a favourable view of organisations, their goods and services, and their role in the community.",32300,2046,39,1300,42,656.0,224.66667,163.33333,118.0,34.66667,68.0,9.0,8.0,30.33333,30.790869639312803,34.591019764301,37.318771185364604,3.8001501249881997,12.341808365608124,6.527901546051801,21.200770301457105
2254,Technical Sales Representatives,"Technical Sales Representatives represent companies in selling a range of industrial, medical and pharmaceutical goods and services to industrial, business, professional and other establishments.",26600,2596,42,-1000,42,281.33333,83.33333,61.66667,66.66667,20.33333,43.33333,1.33333,1.0,3.66667,27.905131093589702,31.7994187705855,34.7772292260317,3.8942876769957984,13.95545379785148,6.872098132441998,24.62664701123959
2311,Air Transport Professionals,"Air Transport Professionals fly and navigate aircraft, control and direct air traffic to ensure the safe and efficient operation of aircraft in flight and on the ground, and instruct students in flying aircraft.",16700,2651,44,500,43,113.0,32.66667,17.0,30.33333,5.0,17.0,1.66667,4.33333,5.0,15.4926857643941,16.3682885486804,17.6087014107936,0.8756027842863006,5.651717188369272,2.1160156463995,13.658158944026416
2312,Marine Transport Professionals,"Marine Transport Professionals control and manage the operations of ships, boats and marine equipment.",10700,3365,49,100,54,53.0,4.33333,5.0,20.0,4.66667,15.0,0.66667,3.33333,0.0,10.548723567096701,11.1031949251879,11.8134188401349,0.5544713580911989,5.256288635913176,1.2646952730381997,11.989083465823331
2321,Architects and Landscape Architects,"Architects and Landscape Architects design commercial, industrial, institutional, residential and recreational buildings and landscapes.",35800,2308,41,1000,44,444.0,156.33333,102.66667,87.66667,21.0,34.33333,1.33333,1.66667,39.0,30.932281214230102,34.1060245701682,36.8718266772434,3.1737433559381003,10.26029517175749,5.939545463013296,19.20176989817636
