cricos_course_code,course_name,course_level,field_rank,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,field_code,field_name,data_source
060727G,Bachelor of Engineering with the degree of Bachelor of Science,Bachelor Degree,2,01,Natural and Physical Sciences,0100,Natural and Physical Sciences,010000,"Natural and Physical Sciences, n.f.d.",CRICOS
064238D,Doctor of Philosophy (Human Sciences - Low Cost),Doctoral Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
064239C,Doctor of Philosophy (Human Sciences - High Cost),Doctoral Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
064240K,Master of Philosophy (Human Sciences - Low Cost),Masters Degree (Research),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
064241J,Master of Philosophy (Human Sciences - High Cost),Masters Degree (Research),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
067838M,Bachelor of Actuarial Studies,Bachelor Degree,1,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081103,Insurance and Actuarial Studies,CRICOS
067842D,Bachelor of Actuarial Studies with the degree of Bachelor of Science,Bachelor Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
067843C,Bachelor of Advanced Science,Bachelor Degree,1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019999,"Natural and Physical Sciences, n.e.c.",CRICOS
067844B,Bachelor of Applied Finance with the degree of Bachelor of Actuarial Studies,Bachelor Degree,1,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081101,Banking and Finance,CRICOS
067844B,Bachelor of Applied Finance with the degree of Bachelor of Actuarial Studies,Bachelor Degree,2,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081103,Insurance and Actuarial Studies,CRICOS
067845A,Bachelor of Applied Finance with the degree of Bachelor of Commerce - Professional Accounting,Bachelor Degree,1,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081101,Banking and Finance,CRICOS
067845A,Bachelor of Applied Finance with the degree of Bachelor of Commerce - Professional Accounting,Bachelor Degree,2,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
067846M,Bachelor of Arts with the degree of Bachelor of Commerce,Bachelor Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
067848J,Bachelor of Biodiversity and Conservation,Bachelor Degree,1,05,"Agriculture, Environmental and Related Studies",0509,Environmental Studies,050901,"Land, Parks and Wildlife Management",CRICOS
067850D,Bachelor of Business Administration with the degree of Bachelor of Commerce - Professional Accounting,Bachelor Degree,1,08,Management and Commerce,0803,Business and Management,080301,Business Management,CRICOS
067850D,Bachelor of Business Administration with the degree of Bachelor of Commerce - Professional Accounting,Bachelor Degree,2,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
067851C,Bachelor of Commerce - Professional Accounting,Bachelor Degree,1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
067856J,Bachelor of Commerce with the degree of Bachelor of Science,Bachelor Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
067858G,Bachelor of Environment,Bachelor Degree,1,05,"Agriculture, Environmental and Related Studies",0509,Environmental Studies,050900,"Environmental Studies, n.f.d.",CRICOS
067866G,Bachelor of Business Administration with the degree of Bachelor of Arts,Bachelor Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
068544F,Master of Management General Exchange Program,Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
070063E,Doctor of Philosophy (Human Sciences - Mid Cost),Doctoral Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
070064D,Master of Philosophy (Human Sciences - Mid Cost),Masters Degree (Research),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
070505F,Master of Advanced Medicine,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060199,"Medical Studies, n.e.c.",CRICOS
072063M,Bachelor of Arts - Media,Bachelor Degree,1,09,Society and Culture,0999,Other Society and Culture,099999,"Society and Culture, n.e.c.",CRICOS
074754A,Bachelor of Marketing and Media,Bachelor Degree,1,08,Management and Commerce,0805,Sales and Marketing,080505,Marketing,CRICOS
075047J,Bachelor of Arts with the degree of Bachelor of Education (Primary),Bachelor Degree,1,09,Society and Culture,0903,Studies in Human Society,090399,"Studies in Human Society, n.e.c.",CRICOS
075047J,Bachelor of Arts with the degree of Bachelor of Education (Primary),Bachelor Degree,2,07,Education,0701,Teacher Education,070103,Teacher Education: Primary,CRICOS
075265K,Doctor of Physiotherapy,Masters Degree (Extended),1,06,Health,0617,Rehabilitation Therapies,061701,Physiotherapy,CRICOS
077336F,Doctor of Advanced Surgery,Doctoral Degree,1,06,Health,0601,Medical Studies,060103,Surgery,CRICOS
077583B,Master of Medical Practice,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060199,"Medical Studies, n.e.c.",CRICOS
077685G,Master of Advanced Professional Accounting,Masters Degree (Coursework),1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
078005F,Bachelor of Commerce with the degree of Bachelor of Arts - Psychology,Bachelor Degree,1,08,Management and Commerce,0899,Other Management and Commerce,089999,"Management and Commerce, n.e.c.",CRICOS
078005F,Bachelor of Commerce with the degree of Bachelor of Arts - Psychology,Bachelor Degree,2,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
078627J,Master of Clinical Sciences,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060199,"Medical Studies, n.e.c.",CRICOS
078628G,Doctor of Clinical Practice,Masters Degree (Coursework),1,06,Health,0601,Medical Studies,060199,"Medical Studies, n.e.c.",CRICOS
079199E,Master of International Public Diplomacy,Masters Degree (Coursework),1,09,Society and Culture,0901,Political Science and Policy Studies,090103,Policy Studies,CRICOS
079304J,Bachelor of Business Administration with the degree of Bachelor of Psychology (Honours),Bachelor Honours Degree,1,08,Management and Commerce,0803,Business and Management,080301,Business Management,CRICOS
079304J,Bachelor of Business Administration with the degree of Bachelor of Psychology (Honours),Bachelor Honours Degree,2,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
079305G,Bachelor of Commerce with the degree of Bachelor of Psychology (Honours),Bachelor Honours Degree,1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
079305G,Bachelor of Commerce with the degree of Bachelor of Psychology (Honours),Bachelor Honours Degree,2,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
079306G,Bachelor of Business Analytics,Bachelor Degree,1,02,Information Technology,0203,Information Systems,020307,Decision Support Systems,CRICOS
079307F,Bachelor of Business Leadership and Commerce,Bachelor Degree,1,08,Management and Commerce,0899,Other Management and Commerce,089999,"Management and Commerce, n.e.c.",CRICOS
079539A,Juris Doctor,Masters Degree (Extended),1,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",CRICOS
079889A,Bachelor of Arts - Psychology with the degree of Bachelor of Education (Primary),Bachelor Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
079889A,Bachelor of Arts - Psychology with the degree of Bachelor of Education (Primary),Bachelor Degree,2,07,Education,0701,Teacher Education,070103,Teacher Education: Primary,CRICOS
079890G,Bachelor of Psychology (Honours) with the degree of Bachelor of Laws,Bachelor Honours Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
079890G,Bachelor of Psychology (Honours) with the degree of Bachelor of Laws,Bachelor Honours Degree,2,09,Society and Culture,0909,Law,090901,Business and Commercial Law,CRICOS
079891G,Bachelor of Ancient History,Bachelor Degree,1,09,Society and Culture,0903,Studies in Human Society,090305,History,CRICOS
080284J,Master of Data Science,Masters Degree (Coursework),1,02,Information Technology,0299,Other Information Technology,029999,"Information Technology, n.e.c.",CRICOS
080285G,Bachelor of Human Sciences,Bachelor Degree,1,06,Health,0699,Other Health,069903,Human Movement,CRICOS
080286G,Bachelor of Global Business,Bachelor Degree,1,08,Management and Commerce,0803,Business and Management,080311,International Business,CRICOS
080287F,Bachelor of Education (Secondary),Bachelor Degree,1,07,Education,0701,Teacher Education,070105,Teacher Education: Secondary,CRICOS
080288E,Bachelor of Laws,Bachelor Degree,1,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",CRICOS
081340J,Bachelor of Science with the degree of Bachelor of Education (Secondary),Bachelor Degree,1,01,Natural and Physical Sciences,0101,Mathematical Sciences,010101,Mathematics,CRICOS
081340J,Bachelor of Science with the degree of Bachelor of Education (Secondary),Bachelor Degree,2,07,Education,0701,Teacher Education,070105,Teacher Education: Secondary,CRICOS
081342G,Bachelor of Arts with the degree of Bachelor of Education (Secondary),Bachelor Degree,1,09,Society and Culture,0903,Studies in Human Society,090399,"Studies in Human Society, n.e.c.",CRICOS
081342G,Bachelor of Arts with the degree of Bachelor of Education (Secondary),Bachelor Degree,2,07,Education,0701,Teacher Education,070105,Teacher Education: Secondary,CRICOS
081724D,Doctor of Advanced Medicine,Doctoral Degree,1,06,Health,0601,Medical Studies,060199,"Medical Studies, n.e.c.",CRICOS
