industry_label,males,females,persons
"Information Media and Telecommunications, nfd",2101,1711,3812
"Publishing (except Internet and Music Publishing), nfd",756,1053,1806
"Newspaper, Periodical, Book and Directory Publishing, nfd",28,26,53
Newspaper Publishing,4812,4984,9794
Magazine and Other Periodical Publishing,1243,1939,3177
Book Publishing,1649,3268,4917
Directory and Mailing List Publishing,243,201,445
"Other Publishing (except Software, Music and Internet)",58,113,176
Software Publishing,3316,1800,5119
"Motion Picture and Sound Recording Activities, nfd",165,61,226
"Motion Picture and Video Activities, nfd",447,254,701
Motion Picture and Video Production,8567,5240,13807
Motion Picture and Video Distribution,175,210,382
Motion Picture Exhibition,4124,4549,8675
Post-production Services and Other Motion Picture and Video Activities,1403,657,2065
"Sound Recording and Music Publishing, nfd",56,13,66
Music Publishing,230,229,458
Music and Other Sound Recording Activities,824,213,1036
"Broadcasting (except Internet), nfd",586,268,844
Radio Broadcasting,2850,2610,5459
"Television Broadcasting, nfd",65,76,142
Free-to-Air Television Broadcasting,7447,6864,14313
Cable and Other Subscription Broadcasting,1380,845,2222
Internet Publishing and Broadcasting,1416,1429,2841
"Telecommunications Services, nfd",12129,4133,16252
Wired Telecommunications Network Operation,7761,3492,11255
Other Telecommunications Network Operation,19343,8694,28034
Other Telecommunications Services,206,82,286
"Internet Service Providers, Web Search Portals and Data Processing Services, nfd",131,42,164
Internet Service Providers and Web Search Portals,8323,3389,11709
"Data Processing, Web Hosting and Electronic Information Storage Services, nfd",98,42,141
Data Processing and Web Hosting Services,5005,2149,7152
Electronic Information Storage Services,1751,668,2424
"Library and Other Information Services, nfd",0,0,0
Libraries and Archives,1855,4945,6796
Other Information Services,44,56,100
Total Information Media and Telecommunications,100578,66291,166872
"Financial and Insurance Services, nfd",5943,4447,10388
"Finance, nfd",11873,9624,21491
Central Banking,1227,998,2227
"Depository Financial Intermediation, nfd",4,6,10
Banking,74883,83482,158358
Building Society Operation,258,604,858
Credit Union Operation,1217,2292,3509
Other Depository Financial Intermediation,1696,1368,3064
Non-Depository Financing,3891,3663,7549
Financial Asset Investing,5219,4397,9613
"Insurance and Superannuation Funds, nfd",62,84,146
Life Insurance,4892,5372,10267
"Health and General Insurance, nfd",62,97,164
Health Insurance,4449,8359,12805
General Insurance,27673,36634,64302
Superannuation Funds,4999,5292,10288
"Auxiliary Finance and Insurance Services, nfd",106,46,152
